scenario,fips,pr_pipc_2015,pr_pipc_2020,pr_pipc_2025,pr_pipc_2030,pr_pipc_2035,pr_pipc_2040,pr_pipc_2045,pr_pipc_2050,pr_pipc_2055,pr_pipc_2060,pr_pipc_2065,pr_pipc_2070
SSP3,48233,37.353,39.474,41.553,44.005,46.553,49.292,51.762,54.658,57.248,60.403,63.182,65.788
SSP3,48235,50.817,52.510,54.505,57.093,59.895,62.952,65.768,69.020,71.964,75.465,78.580,81.509
SSP3,48237,36.325,38.183,40.124,42.521,45.061,47.821,50.326,53.267,55.903,59.106,61.934,64.587
SSP3,48239,33.708,36.002,38.205,40.739,43.345,46.129,48.634,51.562,54.179,57.358,60.160,62.787
SSP3,48241,32.648,34.702,36.728,39.126,41.622,44.312,46.736,49.590,52.139,55.255,57.998,60.569
SSP3,48243,35.679,37.778,39.882,42.383,44.991,47.796,50.332,53.295,55.949,59.167,62.006,64.668
SSP3,48245,37.556,39.673,41.764,44.226,46.782,49.528,52.009,54.916,57.518,60.685,63.473,66.090
SSP3,48247,34.234,36.237,38.308,40.806,43.431,46.267,48.841,51.846,54.544,57.803,60.686,63.393
SSP3,48249,36.339,38.253,40.277,42.766,45.400,48.256,50.857,53.890,56.617,59.905,62.816,65.548
SSP3,48251,34.497,36.413,38.312,40.588,42.976,45.590,47.955,50.768,53.283,56.366,59.092,61.653
SSP3,48253,28.273,30.091,31.857,33.985,36.209,38.632,40.796,43.398,45.705,48.590,51.111,53.470
SSP3,48255,28.683,30.748,32.760,35.133,37.598,40.255,42.644,45.462,47.975,51.057,53.767,56.306
SSP3,48257,34.092,36.222,38.282,40.685,43.182,45.897,48.355,51.255,53.852,57.009,59.809,62.440
SSP3,48259,55.700,57.653,59.831,62.545,65.449,68.609,71.526,74.881,77.924,81.516,84.730,87.757
SSP3,48261,44.351,46.336,48.386,50.882,53.519,56.379,58.983,62.022,64.754,68.046,70.966,73.708
SSP3,48263,33.487,35.799,38.030,40.585,43.208,46.004,48.520,51.455,54.079,57.265,60.072,62.704
SSP3,48265,42.213,44.411,46.620,49.214,51.907,54.790,57.401,60.433,63.153,66.433,69.330,72.049
SSP3,48267,31.884,33.862,35.814,38.138,40.559,43.176,45.526,48.309,50.789,53.839,56.518,59.028
SSP3,48269,34.945,37.212,39.498,42.183,44.973,47.956,50.664,53.792,56.605,59.974,62.958,65.760
SSP3,48271,30.952,32.849,34.794,37.162,39.655,42.358,44.802,47.679,50.254,53.396,56.164,58.759
SSP3,48273,33.494,35.392,37.331,39.686,42.164,44.853,47.283,50.149,52.711,55.841,58.599,61.185
SSP3,48275,35.057,37.134,39.231,41.725,44.328,47.128,49.661,52.621,55.273,58.490,61.327,63.989
SSP3,48277,34.171,36.389,38.544,41.049,43.637,46.408,48.905,51.826,54.439,57.614,60.412,63.036
SSP3,48279,32.945,35.135,37.196,39.563,41.992,44.596,46.924,49.677,52.126,55.144,57.791,60.269
SSP3,48281,48.212,49.828,51.777,54.335,57.119,60.165,62.975,66.226,69.169,72.670,75.787,78.718
SSP3,48283,25.508,27.143,28.808,30.894,33.111,35.549,37.738,40.372,42.715,45.635,48.193,50.589
SSP3,48285,37.730,39.920,42.121,44.720,47.425,50.325,52.955,56.009,58.751,62.052,64.972,67.712
SSP3,48287,37.023,38.966,40.945,43.338,45.854,48.586,51.060,53.973,56.583,59.759,62.568,65.207
SSP3,48289,35.563,37.859,40.113,42.732,45.441,48.335,50.953,53.992,56.718,60.003,62.906,65.631
SSP3,48291,33.332,34.891,36.544,38.651,40.935,43.513,45.877,48.718,51.274,54.397,57.189,59.821
SSP3,48293,32.907,35.030,37.122,39.587,42.149,44.907,47.395,50.312,52.921,56.095,58.893,61.517
SSP3,48295,39.993,42.202,44.429,47.056,49.789,52.716,55.371,58.447,61.209,64.531,67.469,70.226
SSP3,48297,32.461,34.500,36.517,38.918,41.421,44.121,46.554,49.416,51.974,55.098,57.849,60.427
SSP3,48299,37.233,39.322,41.387,43.828,46.365,49.095,51.555,54.443,57.023,60.169,62.939,65.537
SSP3,48301,47.176,51.940,56.026,59.948,63.649,67.340,70.630,74.258,77.514,81.287,84.645,87.796
SSP3,48303,35.755,37.898,39.978,42.405,44.912,47.602,50.024,52.873,55.418,58.532,61.266,63.834
SSP3,48305,36.852,38.766,40.722,43.092,45.584,48.286,50.728,53.604,56.177,59.317,62.084,64.679
SSP3,48307,34.977,36.978,39.004,41.440,43.994,46.752,49.246,52.170,54.789,57.974,60.782,63.415
SSP3,48309,35.110,37.153,39.174,41.568,44.058,46.743,49.167,52.021,54.573,57.692,60.436,63.012
SSP3,48311,42.221,44.441,46.660,49.259,51.955,54.840,57.451,60.485,63.205,66.485,69.384,72.103
SSP3,48313,27.669,29.946,32.076,34.499,36.977,39.629,42.002,44.800,47.292,50.350,53.038,55.556
